,,,,,"The Electricity (Supply) Act, 1926; E. E. Hoadley, M.I.E.E."
,,,,,Progress in Rural Electrification;
,,,,,"Colour and Health in the Home; W. G. Raffe, A.R.C.A., M.I.E.S."
,,,,,The Manufacture of Electric Cookers;
,,,,,"Useful Hints for the Home-Maker; ""Electra"""
,,,,,Cookery Notes; Mary MacKirdy
1929,April,1926,246,"Vol 1, No 12","FRONTISPIECE; Mrs. Philip Snowden, J.P."
,,,,,EDITORIAL — Progress — Electricity in the Schools — Various Functions and Activities;
,,,,,The E.A.W. 1929 Conference at Newcastle-on-Tyne;
,,,,,Electrify Your Home; Lady Cowan
,,,,,Electrical Spring Cleaning Equipment; Mrs. Walter Lawson
,,,,,Wireless — A Page for Girl Guides; Beatrice Shilling
,,,,,"Electricity in the Village; Margaret Partridge, B.Sc."
,,,,,A Visit to the United States of America; Beatrice Jolley
,,,,,Cookery Notes; Mary MacKirdy
,,,,,"Useful Hints for the Home-Maker; ""Electra"""
1929,July,1926,268,"Vol 1, No 13","FRONTISPIECE; The Right Hon. Margaret Bondfield, J.P., M.P."
,,,,,EDITORIAL — An International Electrical Association for Women;
,,,,,The Progress of the North-East Coast Exhibition;
,,,,,"A New Era for the Housewife in Electrical Cookery; Mrs. H. L. Dover, B.Sc. Lond."
,,,,,A North-East Coast Switchgear Works;
,,,,,A Visit to a Co-operative Electricity Society in Czecho-Slovakia; A. Honora Enfield
,,,,,The Newcastle Conference — An International Platform of Women Speakers;
,,,,,“What is a Time Switch?” — A Page for Girl Guides; Gladys F. Sharp
,,,,,"The Women’s National Specification in Practice; J. F. Stanley, B.Sc., A.C.G.I."
,,,,,Electricity in the Schools; The Editor
,,,,,"“The World’s Garden Toffery” at Cremona Park, The Wearside-on-Tyne; Anna Holm"
,,,,,The Electric Refrigerator — A Week-end Menu; Mary Mackirdy
,,,,,Letters of Lulu;
,,,,,"Useful Hints for the Home-Maker; ""Electra"""
1929,October,1926,290,"Vol 1, No 14",FRONTISPIECE; Mrs. Llewelyn B. Atkinson
,,,,,EDITORIAL — Electricity Tariffs — An Electrical Play;
,,,,,Sewing by Electricity; W. Haselden
,,,,,The Newcastle Conference; The Editor
,,,,,"A Talk on Tariffs — A Page for Girl Guides; Margaret Partridge, B.Sc., A.M.I.E.E."
,,,,,Where a Fairy Tale Came True; Cecile Francis-Lewis
,,,,,Cookery Notes — Some Autumn Dishes; Mary MacKirdy
,,,,,The Economy of Washing Electrically; E. W. U.
,,,,,"“Outlets” in Existing Houses, A New Surface Wiring System Electric Lighting in the Home; Mrs. W. B. Woodhouse"
,,,,,A Visit to Seghill Colliery; Frances E. Jones
,,,,,The Fourth International Congress on the Scientific Organisation of Work;
,,,,,"Useful Hints for the Home-Maker; ""Electra"""
,,,,,Hints on Electric Lamps;
1930,January,1926,312,"Vol 1, No 15","FRONTISPIECE; Mrs. J. M. Phillips, J.P."
,,,,,EDITORIAL — 1930 — Education — Watts and Kilowatts;
,,,,,Opening of a Super Power Station; Harriet Holmes
,,,,,"Wayleaves; Margaret Partridge, B.Sc., A.M.I.E.E."
,,,,,“Want to Shee Wheels go Wound” — A Page for Girl Guides; Gladys Sharp
,,,,,Milestones in the Progress of Electricity — Verses; A Bristol E.-W. Member
,,,,,Schools and Electricity; The Editor
,,,,,"The Artificial Production of Ultra-Violet Rays; G. E. L. Roworth, A.M.I.E.E., C.E.E."
,,,,,"Smoke Abatement Exhibition at Manchester; M. Foster-Jeffery, L.L.B."
,,,,,Cookery Notes — Some Party Dishes for New Year Festivities; Mary MacKirdy
,,,,,"A Psychological Home of the Future; Hilda L. Dover, B.Sc."
,,,,,All-Electric Radio; E. C. Ambler
,,,,,A Page for the Electrical Housewife; H. Bourne
,,,,,Electric Heating in the Home; Mrs. W. Lawson
,,,,,"Useful Hints for the Home-Maker; ""Electra"""
1930,April,1926,338,"Vol 1, No 16","FRONTISPIECE; The late Dr. S. Z. de Ferranti, F.R.S."
,,,,,EDITORIAL — The 1930 Conference — The Business Woman and Electricity — The Countryside;
,,,,,“Watts” in a Home; Harriet Holmes
,,,,,"Dr. S. Z. de Ferranti, F.R.S.; Caroline Haslett"
,,,,,Electricity in the Hospital; Gladys F. Sharp
,,,,,More Letters of Lulu — In Lighter Vein;
,,,,,"What Does it Cost?; C. F. Wells, A.I.E.E."
,,,,,"A Woman Builder and Electricity; Mrs. L. A. Willson, M.B.E."
,,,,,Impressions of Imatra — Finland’s Electricity Supply; Betty Benn
,,,,,Cookery Notes — Some Attractive and Proved Recipes for the Electric Oven; Mary MacKirdy
,,,,,"Saleswomen in Electrical Showrooms; Hilda L. Dover, B.Sc."
,,,,,My Experiences with an Electric Travelling Van; Jean Tyler
,,,,,"Useful Hints for the Home-Maker; ""Electra"""
1930,July,1930,13,"Vol 2, No 1",FRONTISPIECE; Lady Brooke
,,,,,"Electricity in the Schools — A Teacher’s Point of View; Hilda Shaw, B.Sc."
,,,,,A Schoolgirl’s Impression of Electricity; Kathleen Baker
,,,,,"Instruction in Electrical Housecraft at Eastbourne, Glasgow and North Wales;"
,,,,,"Modern Illumination in the Schools; W. J. Jones, M.Sc. (Eng.), A.M.I.E.E."
,,,,,Mr. Llewelyn B. Atkinson writes on “Rationalised Housework”; Mr. Llewelyn B. Atkinson
1930,October,1930,37,"Vol 2, No 2",FRONTISPIECE; Mrs. Herbert Morrison
,,,,,Women and the World Power Conference;
,,,,,Beatrice Irwin on The New Art of Illumination; Beatrice Irwin
,,,,,Electricity in North Holland;
,,,,,Helen J. Rostron on Electric Water Heating; Helen J. Rostron
,,,,,Electricity and the Senior Schools; a Director of Education
,,,,,Cookery Notes — A New Idea in House Numbering;
,,,,,Lamp Prices — A New Electric Housing Scheme;
1931,January,1930,59,"Vol 2, No 3","FRONTISPIECE; Lady Watson, J.P."
,,,,,"Electricity Without Tears; Dr. C. F. Smith, M.I.E.E."
,,,,,Electrical Careers for Girls — Electrical Canteen Cooking and Management;
,,,,,Home Movies — A New Entertainment; R. G. Lawrence
,,,,,Lady Cowan writes on “Ironing Problems”; Lady Cowan
,,,,,"Number, Please!; Gladys F. Sharp"
,,,,,The Bachelor Girl’s Electrical Home;
,,,,,Decorative Table Lighting for the New Year Party;
,,,,,A Description of the Brifin Stores — Housing Estate;
,,,,,Letters from Lulu;
1931,July,1930,109,"Vol 2, No 5",FRONTISPIECE; Mrs. McCredie
,,,,,"Presidential Address; Lady Moir, O.B.E."
,,,,,"Electrical Education in France, Sweden, and Denmark — Papers read at the Glasgow Conference; Mademoiselle Berneg, Madame Silfverhielm, and Madame Karen Braae, M.B."
,,,,,Electricity’s Aid to Medicine; Dr. Elizabeth Sloan Chesser
,,,,,"Electricity Without Tears, Part III; Dr. C. F. Smith, M.I.E.E."
,,,,,The Grid in Scotland; A. E. McColl
,,,,,Summer Salads in the Modern Refrigerator
,,,,,The National Register of Electrical Contractors
,,,,,The Sixth Annual London Conference
,,,,,A New British Vacuum Cleaner
,,,,,Resolutions and Repairs
1931,October,1930,135,"Vol 2, No 6",FRONTISPIECE; Dr. Elizabeth Sloan Chesser
,,,,,How We Honoured Michael Faraday; Warwick Holmes
,,,,,A Brighter Outlook; Dora M. Noakes
,,,,,Home Lighting; Nora E. Miller and Caroline Haslett
,,,,,The Height of Bliss; Gladys F. Sharp
,,,,,A Million Balls of Fluff
,,,,,Dishes for the Convalescent
,,,,,Useful Hints for the Homemaker
,,,,,Electrical Entertaining
,,,,,Second Summer School
,,,,,Other Associations’ Opinion of the E.A.W.
1932,January,1930,157,"Vol 2, No 7",FRONTISPIECE; The Hon. Mrs. John Inskip
,,,,,A Domestic Utopia; Zoë Pycroft
,,,,,Those Saucepans; Gladys F. Sharp
,,,,,"By Air to Baghdad, Babylon, and Ur; Mrs. Pender Chalmers"
,,,,,Electrical Entertaining; R. G. Lawrence
,,,,,New Homes for Old; Harriet Holmes
,,,,,Party Dishes Suitable for Children; Mary MacKirdy
,,,,,Electricity at the Breakfast Table
,,,,,Electricity and Heating
,,,,,Useful Hints for the Homemaker
,,,,,How the E.A.W. Honoured Faraday
,,,,,Electrical Educational Facilities
1932,April,1930,179,"Vol 2, No 8","FRONTISPIECE; Catherine, Countess of Westmorland"
,,,,,Superb!; Gladys F. Sharp
,,,,,Gayfere House; The Lady Mount Temple
,,,,,"Electric House Warming; Hilda L. Dover, B.Sc."
,,,,,Electricity at Royal Doulton; Len Chaloner
,,,,,Taking Years off London; Warwick Holmes
,,,,,Speakers at the April Conference Lunch;
,,,,,Princess Elizabeth’s Cottage
,,,,,Useful Hints for the Homemaker
,,,,,Quick Meals for the Busy Housewife
,,,,,Spring Renovations and Repairs
1932,July,1930,201,"Vol 2, No 9",FRONTISPIECE; Lady Callender
,,,,,"From Grid to Home; Sir Archibald Page, M.I.C.E., M.I.E.E."
,,,,,Mrs. Ferranti’s Electric Farm;
,,,,,British Standard Outlets; The Editor
,,,,,THE CASE FOR ELECTRICITY — Economics for the Countrywoman; Elsie Elmitt Edwards
,,,,,Modern Housekeeping with the Refrigerator;
,,,,,Rural Industries and Electricity;
,,,,,Real English Cookery — Food and Drink;
,,,,,Modern Applications of X-Rays
,,,,,Personalities at the 1932 Conference
,,,,,Book Reviews
,,,,,Useful Hints for the Homemaker
,,,,,Branch Reports
1932,October,1930,223,"Vol 2, No 10","FRONTISPIECE; Dame Ethel Shakespear, D.B.E., B.Sc., J.P."
,,,,,How to Obtain a Supply of Electricity for Domestic Use; R. M. Bentham
,,,,,Flood-lighting the Garden; Mrs. C. G. Paterson
,,,,,A Success in Rural Electrification; Harriett Holmes
,,,,,SCIENTIFIC HOUSEHOLD MANAGEMENT;
,,,,,Independence for the Invalid; Stella Wolfe Murray
,,,,,Electricity and Decoration; Mrs. G. Woodhouse
,,,,,The Building Centre;
,,,,,The Quickness and Economy of Electric Cookery
,,,,,A Visit to Budapest
,,,,,Useful Hints for the Homemaker
,,,,,Notes and News
,,,,,Book Reviews
,,,,,Branch Reports
1933,January,1930,245,"Vol 2, No 11","FRONTISPIECE; Mrs. F. C. Wilson, C.C."
,,,,,THE ELECTRICAL HOUSECRAFT SCHOOL;
,,,,,"NEW E.A.W. HEADQUARTERS; Caroline Haslett, C.B.E."
,,,,,"Lighting in Public Schools; W. J. Jones, M.Sc. (Eng.), A.M.I.E.E."
,,,,,A RECENT VISIT TO JAPAN; The Dowager Lady Swaythling
,,,,,How Blind Girls are Taught; Harriett Holmes
,,,,,A Visit to Broadcasting House; Gladys F. Sharp
,,,,,Electrical Comforts in Hotels; Margaret E. Kettle
,,,,,Useful Information for the Countrywoman; 
,,,,,Decorative Light; Mrs. Bannister
,,,,,S.S. Ferranti
,,,,,Ways with Potatoes and Onions
,,,,,From Simplicity to Electric Plate
,,,,,Useful Hints for the Homemaker
,,,,,Book Reviews
,,,,,Branch Reports
1933,April,1930,266,"Vol 2, No 12",FRONTISPIECE; H.R.H. The Duchess of York
,,,,,VISIT OF H.R.H. THE DUCHESS OF YORK TO THE NEW E.A.W. HEADQUARTERS; Vannina Hodges
,,,,,"HOME AND MODERN DECORATION; Catherine, Countess of Westmorland"
,,,,,ELECTRICAL ASSISTANCE IN MARKETING;
,,,,,Electricity and Home Appliances; Mrs. F. Owen
,,,,,Electrical Sunshine;
,,,,,An Old Oast Barn Transformed; Margaret B. Jackson
,,,,,Simple Catering
,,,,,Electra Looks at Lamps
,,,,,"Programme, Eighth Annual Conference of E.A.W."
,,,,,Maintenance Means Economy
,,,,,In a Private Nursing Home
,,,,,Book Reviews
,,,,,Branch Reports
1933,July,1930,288,"Vol 2, No 13",FRONTISPIECE; The Countess of Darnley
,,,,,ELECTRICITY AND THE COUNTRYWOMAN — The Position in Norway; Henriette W. Nissen
,,,,,ELECTRICITY AND THE COUNTRYWOMAN — The Position in Great Britain; J. T. H. Legge
,,,,,Wizards of Witton; Gladys F. Sharp
,,,,,"MODERN METHODS OF PRODUCING ELECTRICITY; Frank Forrest, M.I.E.E."
,,,,,Flashes from Birmingham; Ina Williams
,,,,,"THE EYES OF THE GRID; Jean Wishart, M.A., LL.B."
,,,,,Electric Hot Water
,,,,,Watford’s All-Electric Baths
,,,,,Book Reviews
,,,,,Summer Jam-Making
,,,,,Hints for the Housewife
,,,,,Electric Heating
,,,,,Exhibition at Essen
,,,,,E.A.W. Activities in London and Branches
1933,October,1930,311,"Vol 2, No 14",FRONTISPIECE; Mrs. V. F. Gresham
,,,,,"THE SAME ELECTRICITY FOR ALL; James R. Beard, M.Sc., M.I.E.E."
,,,,,The Small House Benefits from Electricity;
,,,,,A New Link with the Empire; Joyce Wedgwood
,,,,,Colour is Life; J. Deighton-Patmore
,,,,,"Domestic Developments in South Africa; E. Poole, A.M.I.E.E."
,,,,,New Lamps for Old; Joan B. Kennedy
,,,,,Hints for the Homemaker
,,,,,Home Laundering
,,,,,"""Four Winds"""
,,,,,Touring Demonstration Coach
,,,,,E.A.W. Developments
,,,,,World Power
,,,,,A Modern Bedroom
,,,,,Branch Reports
1934,January,1930,334,"Vol 2, No 15",FRONTISPIECE; The Marchioness of Reading
,,,,,ELECTRICITY IN THE SMALLER HOUSES; D. Bellamy and Marjorie M. Hutchinson
,,,,,“Let’s Have a Party”;
,,,,,"TEACHING ELECTRICITY IN SCHOOLS; J. H. R. Body, M.R.S.T."
,,,,,BROADCASTING FROM THE HOLY LAND; Joyce Wedgwood
,,,,,Electrical Apparatus in the Making;
,,,,,Warming the House Electrically;
,,,,,Keeping Headquarters Up-to-Date
,,,,,The Ability to Sleep
,,,,,Demonstrators’ Page
,,,,,Book Reviews
,,,,,Branch Reports
1934,April,1930,357,"Vol 2, No 16",FRONTISPIECE; The Countess of Bective
,,,,,LADY MOIR’S GIFT;
,,,,,BATTERSEA POWER STATION;
,,,,,LIGHT AND COLOUR; Maysie Chalmers
,,,,,ELECTRICITY IN INDUSTRY — Prize Essay; H. M. Rhodes
,,,,,Spring Cleaning your Apparatus;
,,,,,THE FAIRY ON THE HEARTH; Elsie E. Edwards
,,,,,Electrical Equipment in Domestic Science Colleges;
,,,,,E.A.W. Annual Conference
,,,,,Easter Recipes
,,,,,Hints for the Homemaker
,,,,,The All-Electric Cottage
,,,,,Book Reviews
,,,,,Demonstrators’ Page
,,,,,Branch Activities
1934,July,1930,381,"Vol 2, No 17","FRONTISPIECE; The Mistress Cutler of Sheffield, Mrs. Walsh"
,,,,,LESSENING THE HOUSEWIFE’S DREARY TOIL — Electricity in the Smaller Houses;
,,,,,"ELECTRIC HOT WATER; J. I. Bernard, B.Sc., A.M.I.E.E."
,,,,,"A Course on Applied Electricity at King’s College for Women; T. J. Dillon, M.Sc."
,,,,,SOMETHING OLD AND SOMETHING NEW; Gladys F. Sharp
,,,,,A VISIT TO LAUGHING WATER; Annette Adams
,,,,,THE WORKING WOMAN SPEAKS ON ELECTRICITY — From Coal to Grid; Joyce Wedgwood
,,,,,"FRONTISPIECE; The Mistress Cutler of Sheffield, Mrs. Walsh"
,,,,,LESSENING THE HOUSEWIFE’S DREARY TOIL — Electricity in the Smaller Houses;
,,,,,"ELECTRIC HOT WATER; J. I. Bernard, B.Sc., A.M.I.E.E."
,,,,,"A Course on Applied Electricity at King’s College for Women; T. J. Dillon, M.Sc."
,,,,,SOMETHING OLD AND SOMETHING NEW; Gladys F. Sharp
,,,,,A VISIT TO LAUGHING WATER; Annette Adams
,,,,,THE WORKING WOMAN SPEAKS ON ELECTRICITY; 
,,,,,From Coal to Grid; Joyce Wedgwood
,,,,,Simple Summer Dishes and Cooling Drinks
,,,,,"The Fairy on the Hearth, Part II"
,,,,,Book Reviews
,,,,,Interesting Personalities
,,,,,E.A.W. Certificate Examination
,,,,,Branch Activities
1934,October,1930,407,"Vol 2, No 18","FRONTISPIECE; The Lady Pentland, D.B.E., J.P."
,,,,,ELECTRICITY IN WORKING-CLASS HOUSES; Mrs. Elsie E. Edwards
,,,,,MODERN THINKING WILL BUILD MODEL HOUSES; Mrs. Newman
,,,,,ELECTRICITY MADE EASY;
,,,,,DROITWICH: A NEW ERA IN BRITISH BROADCASTING; Joyce Wedgwood
,,,,,"RECIPES FROM THE COUNTIES; Dorothy Vaughan, M.C.A."
,,,,,UTILITY WITH SAFETY; Nina Dyson Rayner
,,,,,ELECTRICAL HOUSECRAFT AT CHELTENHAM;
,,,,,Interesting Personalities
,,,,,Some Reflections on Television
,,,,,Visit to a Birmingham Business House
,,,,,Book Reviews
,,,,,Research and Electrical Applications
,,,,,E.A.W. Activities in London and Branches
1935,January,1930,431,"Vol 2, No 19",FRONTISPIECE; E.A.W. Birthday Celebrations
,,,,,"SAFE STREET LIGHTING; J. M. Waldram, B.Sc."
,,,,,EXHIBITION OF ELECTRICAL KITCHENS FROM WORKING CLASS HOMES; The Editor
,,,,,VISITING VENNERS; Gladys F. Sharp
,,,,,"WOMEN’S APPRECIATION OF A WOMAN’S WORK — A Presentation; Mrs. G. Z. de Ferranti, M.R.I."
,,,,,ELECTRICITY AND ART; Honora Enfield
,,,,,HEALTH AND RADIO; Annette Adams
,,,,,"LOWTHER COLLEGE, NORTH WALES; Dorotha Foster Jeffery, LL.B."
,,,,,Development of the Lampshade
,,,,,Interesting Personalities
,,,,,The Manchester Conference
,,,,,Cookery Notes
,,,,,News from Demonstrators
,,,,,Book Reviews
,,,,,Life and Letters of Sebastian Z. de Ferranti
,,,,,An Electrical Adventure
,,,,,E.A.W. Activities in London and Branches
1935,April,1930,458,"Vol 2, No 20",FRONTISPIECE; Her Majesty The Queen
,,,,,"ENTERTAINING IN THE SPRING; Elizabeth Craig, M.C.A."
,,,,,VIENNA’S HOUSING; Ing. Kathe Bohm
,,,,,"ON MANCHESTER; Dorothy Foster Jeffery, LL.B."
,,,,,THE ROYAL JUBILEE;
,,,,,SPRING RENOVATIONS; Pamela James
,,,,,WATER HEATING PROBLEMS; L. A. S. Robbins
,,,,,FIRST ALL-ELECTRIC HOUSE IN SOUTHERN IRELAND; Katherine B. Moloney
,,,,,Book Reviews
,,,,,Electricity in the Schools
,,,,,Demonstrators’ Page
,,,,,Notable Personalities
,,,,,The Modern Wash-Day
,,,,,Electrical Housecraft
,,,,,Examination Results
,,,,,E.A.W. Activities in the Branches
1935,July,1930,484,"Vol 2, No 21","FRONTISPIECE; Lady Headlam, C.B.E."
,,,,,A PIONEER; Col. R. E. B. Crompton
,,,,,DOMESTIC ELECTRIFICATION IN SWITZERLAND & HOLLAND — Papers read at the Manchester Conference; Mademoiselle Andrée Troillet and Madame A. Zeldenrust de Jongh
,,,,,THE TENTH ANNUAL CONFERENCE OF THE E.A.W. AT MANCHESTER;
,,,,,WOMEN AND THE RAILWAYS; E. W. Ashcroft
,,,,,TRULY MODERN HOUSES; Doris E. Vane
,,,,,A Viennese Kitchen
,,,,,The E.A.W. All-Electric House at Bristol
,,,,,Picnic Fare
,,,,,Book Reviews
,,,,,Demonstrators’ Page
,,,,,E.A.W. Activities
1935,October,1930,510,"Vol 2, No 22",FRONTISPIECE; The Lady Mayoress of Bristol — Mrs. H. J. Maggs
,,,,,The METAMORPHOSIS OF THE HOUSEWIFE; Dr. Elizabeth Sloan Chesser
,,,,,ELECTRICITY IN THE HOME; Sir Arnold Gridley
,,,,,HOUSE PLANNING & HOME MANAGEMENT; Muriel Watson
,,,,,SCANDINAVIAN IMPRESSIONS; Mrs. C. Winter
,,,,,The EVOLUTION OF A TABLE LAMP; Beatrix Corson
,,,,,AN ALL-ELECTRIC STOCKING FACTORY; Annette Adams
,,,,,A National Mark Dinner
,,,,,Book Reviews
,,,,,E.A.W. House
,,,,,Demonstrators’ Page
,,,,,London Teachers’ Circle
,,,,,E.A.W. Activities
1936,January,1936,5,"Vol 3, No 1",EDITOR’S NOTES: An Introduction;
,,,,,THE GRID AT WORK; R. Y. Sanders
,,,,,FURNISHING A HOUSE; Leonora M. Ervine
,,,,,"THE SCIENCE OF SEEING; W. J. Jones, M.I.E.E., M.Sc. (Eng.)"
,,,,,AN APPRECIATION: The Late Lady Belhaven and Stenton;
,,,,,"E.A.W. PERSONALITIES; Miss M. H. Kidd, M.A., LL.B., and Alderman Mrs. Croft Baker, J.P., C.C."
,,,,,KEEPING THE NEW YEAR WITH ME; Elizabeth Craig
,,,,,"NOTES FROM PARIS; Norah M. Jeans, M.W.E.S."
,,,,,ILLUSTRATED SUPPLEMENT ON THE E.A.W. HOUSE AT BRISTOL: How the Enterprise was Received by the Public - Mrs. Newman gives some personal impressions of the appeal the House has made;
,,,,,BOOK REVIEWS;
,,,,,THE SILVER JUBILEE TRAIN: Modernity on the L.N.E.R.;
,,,,,“CURRENT” TOPICS; Joan B. Kennedy
,,,,,THE FIRST LECTURE; Stella Patrick Campbell
,,,,,CONTRASTS;
,,,,,E.A.W. ACTIVITIES;
,,,,,"Special Illustrated Supplement on the E.A.W. House, Bristol"
,,,,,Separate Branch Reports Supplement
,,,,,Separate Index for Volume II of the Magazine
1936,April,1936,65,"Vol 3, No 2",EDITOR’S NOTES;
,,,,,"HISTORICAL ASSOCIATIONS; Captain J. M. Donaldson, M.I.C.E., M.I.E.E."
